,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,income_encoded
15879,47,Private,72896,HS-grad,9,Married,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,0
7956,20,Private,182661,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,20,United-States,<=50K,0
26089,57,Self-emp-inc,125000,Prof-school,15,Married,Prof-specialty,Husband,White,Male,0,0,35,United-States,>50K,1
1090,41,Federal-gov,133060,Assoc-acdm,12,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,1
31854,31,Private,191276,Assoc-voc,11,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,<=50K,0
20430,17,Private,53367,9th,5,Never-married,Other-service,Own-child,White,Female,0,0,35,United-States,<=50K,0
48713,47,Local-gov,244813,HS-grad,9,Married,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,0
46130,47,Private,289517,Bachelors,13,Married,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K,1
16228,32,Private,166634,HS-grad,9,Married,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K,0
16514,55,Private,179534,11th,7,Widowed,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,<=50K,0
43574,19,Private,231492,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,60,United-States,<=50K,0
38695,17,Private,53367,12th,8,Never-married,Other-service,Other-relative,White,Female,0,0,25,United-States,<=50K,0
39947,31,Private,328118,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,20,United-States,<=50K,0
41451,23,Private,287988,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,30,United-States,<=50K,0
27090,34,Local-gov,205704,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,35,United-States,<=50K,0
34193,47,Private,275867,HS-grad,9,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,0
40196,72,Private,103990,Masters,14,Married,Other-service,Husband,White,Male,0,0,12,United-States,<=50K,0
33823,28,Private,184806,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,58,United-States,<=50K,0
18186,51,Private,95128,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
28531,24,Private,184839,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
43434,39,Private,141584,Some-college,10,Married,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K,0
48564,80,Self-emp-not-inc,29441,7th-8th,4,Married,Farming-fishing,Unmarried,White,Male,0,0,15,United-States,<=50K,0
6034,27,Local-gov,223529,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Male,0,0,43,United-States,<=50K,0
36631,27,Self-emp-not-inc,301514,Some-college,10,Married,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,Vietnam,<=50K,0
11710,47,Self-emp-not-inc,84735,Masters,14,Married,Prof-specialty,Wife,White,Female,0,0,20,United-States,>50K,1
20952,22,State-gov,309348,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,15,United-States,<=50K,0
25324,27,Private,131310,HS-grad,9,Married,Other-service,Wife,White,Female,0,0,40,United-States,>50K,1
15800,38,Private,143538,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
43879,38,Federal-gov,290624,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
36763,50,Private,165001,Masters,14,Married,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,1
121,40,Private,118853,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K,0
22054,22,Private,333158,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,48,United-States,<=50K,0
3658,21,Private,342575,Some-college,10,Never-married,Sales,Own-child,Black,Female,0,0,30,United-States,<=50K,0
13111,50,Self-emp-not-inc,219420,Doctorate,16,Divorced,Sales,Not-in-family,White,Male,0,0,64,United-States,<=50K,0
8441,40,Private,169995,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K,0
10164,27,Private,127833,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K,0
15061,31,Self-emp-not-inc,323020,Some-college,10,Married,Other-service,Wife,White,Female,0,0,30,United-States,<=50K,0
47015,46,Private,129007,HS-grad,9,Married,Transport-moving,Husband,White,Male,0,0,41,United-States,>50K,1
32369,22,Private,174043,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K,0
2766,24,Private,199011,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,0
24856,45,Private,246392,HS-grad,9,Never-married,Priv-house-serv,Unmarried,Black,Female,0,0,30,United-States,<=50K,0
40812,36,Private,163380,10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,0
14215,22,Local-gov,50065,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,35,United-States,<=50K,0
24042,64,State-gov,105748,HS-grad,9,Married,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K,0
7178,22,Private,335453,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,60,United-States,<=50K,0
28852,18,Private,187770,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30,United-States,<=50K,0
7525,46,Private,172695,11th,7,Widowed,Other-service,Not-in-family,White,Female,0,0,27,El-Salvador,<=50K,0
6276,19,Private,160033,Some-college,10,Never-married,Protective-serv,Own-child,White,Female,0,0,30,United-States,<=50K,0
18947,50,Private,94391,Assoc-voc,11,Married,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K,1
28565,23,Private,142766,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,20,United-States,<=50K,0
40541,44,Private,209093,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
17536,21,Private,394484,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K,0
34370,49,Private,107009,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,40,Portugal,<=50K,0
22849,18,Private,115443,11th,7,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0
45914,51,Private,123429,HS-grad,9,Married,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,0
13014,28,Private,176137,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,32,United-States,<=50K,0
28163,24,Private,417668,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,30,United-States,<=50K,0
12306,68,Private,124686,7th-8th,4,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,10,United-States,<=50K,0
7916,28,Private,142764,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,48,United-States,<=50K,0
25833,38,Private,154641,Assoc-voc,11,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0
43264,46,Local-gov,197042,Some-college,10,Married,Exec-managerial,Wife,White,Female,0,0,50,United-States,<=50K,0
29163,51,Federal-gov,100653,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,8,United-States,<=50K,0
41246,51,Self-emp-inc,161482,HS-grad,9,Married,Sales,Wife,White,Female,0,0,40,United-States,<=50K,0
44605,49,Private,175958,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,46,United-States,>50K,1
3788,52,Private,164135,HS-grad,9,Married,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,1
26809,36,Local-gov,110791,Assoc-acdm,12,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,0
23679,19,Private,140985,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Male,0,0,25,United-States,<=50K,0
7808,38,Private,215917,Some-college,10,Married,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K,0
11345,28,Private,84547,Bachelors,13,Married,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,1
2146,18,Private,98044,11th,7,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K,0
23097,36,Private,162164,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,44,United-States,<=50K,0
34137,44,Federal-gov,38321,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,1
26559,28,Self-emp-not-inc,33363,HS-grad,9,Married,Farming-fishing,Husband,White,Male,0,0,70,United-States,>50K,1
3829,40,Private,71738,Masters,14,Married,Exec-managerial,Husband,White,Male,0,0,46,United-States,>50K,1
19107,51,Private,93193,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
30658,42,Private,79036,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,<=50K,0
1447,44,Self-emp-not-inc,120837,HS-grad,9,Married,Exec-managerial,Husband,White,Male,0,0,66,United-States,<=50K,0
27679,24,Private,202959,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
32991,64,Self-emp-inc,115931,HS-grad,9,Married,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K,0
26564,43,Private,240504,HS-grad,9,Married,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,0
17589,40,Local-gov,95639,HS-grad,9,Never-married,Craft-repair,Other-relative,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K,0
498,26,Private,64293,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,35,United-States,<=50K,0
115,53,Private,95647,9th,5,Married,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K,0
42727,36,Private,355856,5th-6th,3,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,40,China,<=50K,0
14787,37,Private,177285,Assoc-voc,11,Married,Adm-clerical,Wife,Black,Female,0,0,48,United-States,>50K,1
23514,33,Private,268127,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K,0
15962,21,Private,409230,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Guatemala,<=50K,0
5130,40,Private,217120,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K,0
4453,25,Private,106889,HS-grad,9,Married,Adm-clerical,Wife,White,Female,0,0,30,United-States,<=50K,0
38752,37,Private,296212,HS-grad,9,Separated,Handlers-cleaners,Not-in-family,White,Male,0,0,48,United-States,<=50K,0
10367,42,Private,204235,Some-college,10,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,1
35718,22,Private,255575,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-States,<=50K,0
37944,19,Private,307761,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,15,United-States,<=50K,0
43857,21,Private,88373,HS-grad,9,Married,Other-service,Other-relative,White,Female,0,0,16,United-States,<=50K,0
35239,24,Private,209034,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,50,United-States,<=50K,0
36328,64,State-gov,184271,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,1
31543,32,Self-emp-not-inc,420895,Bachelors,13,Married,Sales,Husband,White,Male,0,0,47,United-States,<=50K,0
43374,37,Private,406328,Bachelors,13,Married,Adm-clerical,Husband,Black,Male,0,0,50,United-States,>50K,1
26300,50,Self-emp-not-inc,167728,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K,1
11273,40,Self-emp-not-inc,33658,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
48630,58,Self-emp-inc,314482,HS-grad,9,Married,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,1
17408,32,Federal-gov,174215,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,60,United-States,<=50K,0
22193,46,Private,156926,Some-college,10,Married,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K,1
33132,41,Self-emp-not-inc,38434,Masters,14,Never-married,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K,0
16950,55,Private,123515,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
5994,38,Private,239755,HS-grad,9,Married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,0
6858,41,Self-emp-inc,82049,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0
10596,49,State-gov,31650,Bachelors,13,Married,Prof-specialty,Other-relative,White,Female,0,0,45,United-States,<=50K,0
19177,23,Private,207415,Assoc-acdm,12,Married,Sales,Wife,White,Female,0,0,25,United-States,<=50K,0
41672,36,Private,201519,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
40849,64,Private,200517,HS-grad,9,Married,Adm-clerical,Husband,White,Male,0,0,39,United-States,<=50K,0
30840,53,Private,55861,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,1
39513,29,Private,303440,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
43835,21,Private,142809,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
34232,47,Private,105449,Bachelors,13,Married,Sales,Husband,White,Male,0,0,65,United-States,>50K,1
6582,35,Self-emp-not-inc,120066,Some-college,10,Married,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,0,60,United-States,<=50K,0
4112,38,State-gov,31352,Some-college,10,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,>50K,1
15158,30,Private,159442,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,Ireland,<=50K,0
2546,24,Private,60783,Some-college,10,Married,Transport-moving,Husband,White,Male,0,0,70,United-States,>50K,1
48013,47,Self-emp-not-inc,276087,HS-grad,9,Married,Farming-fishing,Husband,White,Male,0,0,65,United-States,<=50K,0
29454,35,Private,105803,Some-college,10,Married,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K,1
27658,19,Private,157605,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
25992,56,Private,213105,HS-grad,9,Married,Sales,Husband,White,Male,0,0,36,United-States,>50K,1
18141,79,Self-emp-not-inc,84979,Assoc-voc,11,Married,Sales,Husband,White,Male,0,0,20,United-States,>50K,1
46048,31,Private,249869,HS-grad,9,Married,Sales,Husband,White,Male,0,0,40,United-States,<=50K,0
15030,32,Private,193285,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,0
33325,22,Private,303170,Some-college,10,Never-married,Priv-house-serv,Own-child,White,Female,0,0,28,United-States,<=50K,0
411,24,Private,241951,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Black,Female,0,0,40,United-States,<=50K,0
15713,30,Self-emp-inc,292465,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
26865,50,Private,339954,Assoc-voc,11,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,1
634,58,Self-emp-not-inc,35723,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K,0
6423,40,Private,222848,10th,6,Married,Other-service,Wife,Black,Female,0,0,32,United-States,<=50K,0
9828,64,State-gov,216160,Doctorate,16,Married,Prof-specialty,Husband,White,Male,0,0,50,Columbia,>50K,1
29100,43,Private,136721,12th,8,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0
29873,43,Self-emp-not-inc,116666,Prof-school,15,Married,Prof-specialty,Husband,Other,Male,0,0,35,United-States,>50K,1
13158,23,Private,161708,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K,0
2244,63,Federal-gov,217994,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K,0
19575,44,Private,111891,Some-college,10,Separated,Sales,Other-relative,Black,Female,0,0,35,United-States,<=50K,0
26365,47,Private,34248,Assoc-voc,11,Married,Sales,Husband,White,Male,0,0,40,United-States,>50K,1
15351,43,State-gov,159449,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K,0
32256,41,Private,182108,Doctorate,16,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,>50K,1
10092,22,State-gov,347803,Some-college,10,Never-married,Adm-clerical,Not-in-family,Other,Male,0,0,20,United-States,<=50K,0
44518,48,Private,178313,HS-grad,9,Married,Sales,Husband,White,Male,0,0,60,United-States,<=50K,0
40252,30,Private,172748,HS-grad,9,Married,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,0
7639,19,Private,91928,Some-college,10,Never-married,Other-service,Other-relative,White,Female,0,0,35,United-States,<=50K,0
25350,25,Self-emp-inc,160261,Bachelors,13,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,0,0,35,Taiwan,<=50K,0
38712,32,Self-emp-not-inc,321313,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K,0
1221,48,Private,349151,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0
7400,49,Private,84013,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,35,United-States,<=50K,0
28759,32,Self-emp-not-inc,134737,Bachelors,13,Married,Machine-op-inspct,Husband,White,Male,0,0,70,United-States,>50K,1
29005,38,Private,143123,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,1
12738,29,Private,334221,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,18,United-States,<=50K,0
8701,19,Local-gov,292962,HS-grad,9,Never-married,Craft-repair,Other-relative,Black,Female,0,0,40,United-States,<=50K,0
39578,44,Private,238188,Assoc-acdm,12,Married,Sales,Husband,White,Male,0,0,40,United-States,<=50K,0
44302,50,Federal-gov,193116,HS-grad,9,Married,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,1
18558,31,Private,38158,Some-college,10,Married,Sales,Husband,White,Male,0,0,40,United-States,<=50K,0
40473,20,Private,199703,HS-grad,9,Married,Other-service,Husband,White,Male,0,0,28,United-States,<=50K,0
12706,25,Private,177625,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
22038,27,Private,198258,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,35,United-States,<=50K,0
9790,51,Private,125796,Some-college,10,Married,Adm-clerical,Wife,Black,Female,0,0,35,Jamaica,<=50K,0
37749,46,Private,275792,Bachelors,13,Never-married,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,<=50K,0
31082,47,Local-gov,140644,Some-college,10,Married,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,1
5582,33,Private,172664,Some-college,10,Married,Exec-managerial,Husband,White,Male,0,0,70,United-States,>50K,1
13822,32,Private,38797,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
35649,52,Private,228500,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0
3491,33,Private,323619,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,0
21622,47,Private,188195,Some-college,10,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,0
33182,21,Private,200318,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0,0,35,United-States,<=50K,0
17545,32,Private,168906,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
11098,30,Local-gov,319280,HS-grad,9,Married,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,1
37533,39,Private,107038,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,0
37369,42,Private,211940,Some-college,10,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,<=50K,0
21543,52,Local-gov,124793,12th,8,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0
15403,23,Private,215624,Some-college,10,Never-married,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,0,0,40,Vietnam,<=50K,0
2967,75,Private,188612,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
18859,36,Local-gov,578377,Masters,14,Married,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K,0
1494,27,Private,23940,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K,0
17959,19,Private,29526,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,18,United-States,<=50K,0
717,19,State-gov,378418,HS-grad,9,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K,0
44055,55,Private,236731,1st-4th,2,Never-married,Other-service,Not-in-family,White,Male,0,0,40,Dominican-Republic,<=50K,0
14635,27,State-gov,280618,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
531,26,Private,108658,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
17625,41,Private,307468,HS-grad,9,Married,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K,0
7255,35,State-gov,98776,HS-grad,9,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,<=50K,0
26048,30,Private,270886,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K,0
44266,42,Private,208584,Assoc-acdm,12,Separated,Sales,Not-in-family,Black,Female,0,0,40,United-States,<=50K,0
14272,52,Self-emp-inc,138497,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K,0
24835,52,Private,162238,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,38,United-States,>50K,1
6996,25,Private,394503,Some-college,10,Married,Sales,Husband,White,Male,0,0,40,United-States,<=50K,0
10427,37,Private,114765,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
9946,48,Private,171807,Bachelors,13,Divorced,Other-service,Unmarried,White,Female,0,0,56,United-States,>50K,1
22283,59,Private,176011,Some-college,10,Separated,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,<=50K,0
10388,27,Private,410351,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0
44930,24,Private,245361,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,<=50K,0
9246,39,Private,317434,HS-grad,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0
23823,41,Private,121130,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
40123,52,Self-emp-inc,146574,Prof-school,15,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,1
31137,35,Private,185366,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K,0
604,35,Self-emp-not-inc,194404,Assoc-acdm,12,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K,0
44674,66,Private,86321,HS-grad,9,Widowed,Transport-moving,Not-in-family,White,Male,0,0,22,United-States,<=50K,0
23453,38,Private,439592,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States,<=50K,0
12961,37,Private,117567,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K,1
31321,59,Private,184493,Some-college,10,Married,Sales,Husband,White,Male,0,0,40,United-States,>50K,1
8955,30,Self-emp-not-inc,250499,Some-college,10,Married,Adm-clerical,Wife,White,Female,0,0,55,United-States,>50K,1
21702,24,Private,86153,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0
12189,39,Private,113151,Bachelors,13,Married,Sales,Husband,White,Male,0,0,55,United-States,<=50K,0
25487,33,Private,160784,10th,6,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0
22826,21,Private,166851,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,40,United-States,<=50K,0
20016,25,Self-emp-inc,454934,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K,0
9719,36,Self-emp-not-inc,153976,HS-grad,9,Married,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K,0
46847,21,Private,191265,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K,0
18391,39,Private,97136,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K,0
39196,26,Federal-gov,73047,Some-college,10,Married,Exec-managerial,Husband,White,Male,0,0,32,United-States,<=50K,0
18402,24,Private,155913,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,44,United-States,<=50K,0
